lang;term;sentence;IS_VALID_LOAN;OTHER_LOANS;NOTES;type;source_page
ast;tiza;"Debíu a la conquista británica caltiénense un gran númberu d'anglicismos como por exemplu ""xoc"" ('tiza', n'inglés chalk; en catalán estándar ""guix"").";;;;wiktionary_es;Menorca
ast;pixeles;Tien una pantalla de 7.9 pulgaes, un procesador A5 (el mesmu que'l iPad 2), una cámara FaceTime con 1.2 Mpx (cámara fronteru), una cámara iSight con grabación de videos a 1080p de 5 Mpx (cámara trasera), teunoloxía de redes móviles 4G LTE, amás de tener equivalencia a un procesador de doble nucleu y más de 275 000 aplicaciones llistes pa descargar dende la App Store por cuenta de que tien el mesma resolución que l'iPad 2, 1024 × 768 pixeles con una densidá de 163 ppp.;;;;noun_plural_native;IPad
ast;filme;En 1985, torna a Nueva York pa rodar un filme más acorde a lo que xeneralmente s'espera d'él, una semeya de los baxos fondos neoyorquinos.;;;;wiktionary_en;Martin Scorsese
ast;cangrexu;El cangrexu de ríu (xen.;;;;wiktionary_es;Carcinus maenas
ast;tags;L'usu de la norma foi sofitáu por IETF language tags, introducíu por RFC 1766 en marzu de 1995, y siguíu por RFC 3066 en xineru de 2001 y por RFC 4646 en setiembre de 2006.;;;;noun_plural_english;ISO 639-1
ast;cucaracha;De forma escepcional la cucaracha oriental ye atraida pola lluz.;;;;wiktionary_es;Cucaracha
ast;cudiar;El so nome vien del llatín medicina: 'cudiar', 'guarir', 'alicar'.;;;;wiktionary_es;Medicina
ast;tag;Presentación previa Defensor del títulu:  Alain Prost Constructor defensor:  Mc Laren/TAG Porsche  Escuderíes y pilotos La siguiente tabla amuesa los pilotos confirmaos pal Mundial 1986 de F1, ordenaos según la clasificación del campeonatu de constructores de la temporada anterior.;;;;noun_raw;Temporada 1986 de Fórmula 1
ast;añoranza;Col intre del tiempu entamen ceremonies y comíes coleutives pa conmemorar l'asesinatu místicu, en añoranza del padre asesináu.;;;;wiktionary_es;Psicoloxía de la relixón
ast;chats;Pero nun ye sinón hasta los años ´90 cuando se desenvuelven de forma esponencial, gracies al llevantamientu de la prohibición del usu comercial d'Internet, a la nacencia de la World Wide Web (WWW) y la xeneralización de ferramientes como'l corréu electrónicu, los chats y la mensaxería instantánea.;;;;noun_plural_english;Comunidá virtual
ast;interface;Esti averamientu ye pa caltener la interface gráfica d'usuariu lo más cenciello dable, conforme coles Human Interface Guidelines.;;;;noun_raw;GParted
ast;brazalete;El brazalete lleva una resistencia de 1 MOhm, coneutada en serie pa llindar la corriente de cortucircuitu, protexendo al usuariu si tocar cualquier aparatu o componente coneutaos a la rede llétrica.;;;;wiktionary_es;Brazalete antiestáticu
ast;falda;falda vaquera, con un diseñu paecíu al de los pantalones vaqueros na so parte cimera.;;;;wiktionary_es;Falda
ast;Alexandru;C.: Alexandru Magnu funda Alexandría n'Exiptu.;;;;wiktionary_es;Sieglu IV e.C.
ast;hacks;Referencies Enllaces esternos Web oficial (n'inglés) Proyeutu phpBB en SourceForge Hacks pa phpBB Archiváu 2006-08-10 en Wayback Machine Foru de soporte n'asturianu Archiváu 2007-12-23 en Wayback Machine;;;;noun_plural_english;PhpBB
ast;hackes;Peter Hackes como Paul Moore.;;;;noun_plural_native;Broadcast News
ast;terraza;La terraza soporta un númberu impresionante de construcciones colosales, realizaes en caliar gris procedente del monte axacente.;;;;wiktionary_es;Persépolis
ast;post;Ver tamién Actuación Comedia Drama Dramatización Dramaturgos Léxicu teatral Ópera Taller de teatru Teatru d'estilu Art Déco Teatru d'estilu isabelín Teatru d'estilu italianu Teatru d'estilu post Teatru de marionetes bunraku Teatru de vanguardia Teatru del absurdu Teatru kabuki Teatru na educación Teatru Nō Traxedia Traxicomedia  Referencies Enllaces esternos Diccionario teatral Archiváu 2006-12-14 en Wayback Machine Post-Theater una revista académica especializada en teatru d'estilu post.;;;;noun_raw;Teatru
ast;xastre;Creció en Long Island col so padrastru que yera un xastre y la so madre que yera una modelu.;;;;wiktionary_es;Donna Karan
ast;escaniar;Raymond Vahan Damadian (16 de marzu de 1936, Nueva York – 3 d'agostu de 2022, Woodbury (en) ) foi un médicu, investigador médicu d'Estaos Xuníos ya inventor de la primer máquina d'escaniar por resonancia magnética nuclear (NMR).;;;;verb_morph_prescriptive;Raymond Vahan Damadian
ast;hospital;Docencia ya investigación La docencia nun hospital ye un puntu clave na formación de profesionales.;;;;wiktionary_es;Hospital
ast;güelga;"Definición de “güelga” según el Conveniu de Ramsar:  ""Una güelga ye una zona de la superficie terrestre que ta temporal o permanentemente anubierta, regulada por factores climáticos y en constante interrellación colos seres vivos que lu habiten"".";;;;wiktionary_es;Güelga
ast;hacia;Les consonantes articulaes col ápiz de la llingua curvada hacia tras escontra'l cielu la boca llámense retroflexes.;;;;wiktionary_es;Consonante palatal
ast;conciencia;El puntu de vista D claramente niega la posibilidá de comprensión científica de la conciencia.;;;;wiktionary_es;Conciencia
ast;hacha;"Obres destacaes La noche celta (1991; foi traducida al francés) El okupa (1997) El hacha de bronce (1998) Brindis de sangre (2010)  Premios Medaya de plata d'Asturies nel añu 2003.";;;;wiktionary_es;Juan Noriega
ast;piraña;Patrulla Piraña La nueva manera de Mario Kart 8 Deluxe, llamáu Patrulla Piraña, que rique'l xuegu por equipos.;;;;wiktionary_es;Mario Kart 8 Deluxe
ast;cai;L'avenida Broadway [ˈbɹɑːdweɪ] («Camín ampliu» n'asturianu) ye, xunto cola Quinta Avenida, la cai más famosa de Manhattan.;;;;wiktionary_es;Broadway
ast;reset;Parte cimeru: Atópase'l llector CD, allúguense los botones d'encendíu y apagáu y el de reinicio (reset), d'últimes ta'l botón p'abrir la tapa del llector de CD.;;;;noun_raw;PlayStation
ast;arzobispu;"L'obispu de Urgell, tamién en Cataluña (España), que de la mesma, por razón del so cargu episcopal, ye coprincipe d'Andorra, suel ser estremáu col títulu d'Arzobispu ""ad personam"", esto ye, solamente pa él y non pa la diócesis.";;;;wiktionary_es;Arzobispu
ast;planchar;Hamachi kama - quexal y pómulu d'atún de cola mariella a planchar.;;;;wiktionary_es;Gastronomía de Xapón
ast;deuda;El serviciu de la deuda esterna, que yera de 1.588 millones de dólares en 2006, consumía'l 12,2% del presupuestu del país.;;;;wiktionary_es;Albania
ast;app;"Esta foi una carauterística bien criticada nel so momentu, tal foi'l grau qu'a partir de iOS 8 yá se dexa l'usu d'Adobe Flash; sicasí los posesores d'un iPhone, iPod touch o iPad con una versión anterior a iOS 8 quedaron fora d'esto; pero d'igual forma puede añader Adobe Flash mercando un navegador especial na App Store o faciendo'l Jailbreak pa poder utilizalo en Safari (esto postreru anularía la garantía).";;;;noun_raw;IOS
ast;onlines;Iron Man 3 Adaptation Captain America: The Winter Soldier Adaptation  Comics esclusivos Iron Man: The Price of Doing Business (Non canon) Iron Man: Security Measures (Canon) The Incredible Hulk: The Big Picture (Canon) Iron Man: Limited Edition (Adautación) Iron Man: Will Onlines Evil Prevails?;;;;noun_plural_native;Universu cinematográficu de Marvel
ast;chat;N'ochobre de 2010, Skype 5.0 para Windows foi lliberada con un conxuntu de complementos y nueves funciones, ente les más importantes, la inclusión d'una pestaña de Facebook que dexa a los sos usuarios unviar mensaxes SMS, efectuar chat o llamar a los sos amigos de Facebook, direutamente del Feed de Noticies.;;;;noun_raw;Skype
ast;llevadura;Poro, emplégase en muncho procesos de formentación industrial, de mena asemeyada a la llevadura químico, por exemplu na producción de cerveza, vinu, hidromiel, pan, producción d'antibióticos, etc.;;;;wiktionary_es;Lleldu
ast;users;http://www.nlm.nih.gov/medlineplus/spanish/ency/article/000045.htm http://www.ambitoweb.com/servicios/salud/manual12.asp Archiváu 2006-08-26 en Wayback Machine http://escuela.med.puc.cl/publ/patologiageneral/Patol_049.html Archiváu 2016-05-09 en Wayback Machine http://www.salud.bioetica.org/shock.htm http://www.ctv.es/USERS/sos/aparcirc.htm#ppaashhi;;;;noun_plural_english;Hemorraxa
ast;echar;Na diabetes grave, al nun poder l'organismu echar mano de los carbohidratos pa obtener enerxía, recurre a la oxidación de les proteínes, lo qu'ocasiona un balance nitroxenáu negativu qu'aumenta l'endelgazamientu y amenorga la masa del texíu muscular.;;;;wiktionary_es;Diabetes mellitus
ast;retrete;Retrete a la turca, retrete turcu o placa turca: tratar d'un retrete ensin taza: un furacu nel pisu, con dos sitios axacentes pa sofitar los pies.;;;;wiktionary_es;Retrete
ast;pixels;En toles maneres, puede amosar hasta 128 'sprites' (pequeños oxetos móviles individuales) de 8×8 hasta 64×64 pixels en color indizáu de 4 o 8 bits.;;;;noun_plural_english;Game Boy Advance
ast;furacán;El Furacán Camille evitó condiciones de seca y terminó col déficit d'agua en gran parte del so percorríu.;;;;wiktionary_es;Ciclón tropical
ast;guai;Empléguense tamién otres armes más convencionales, como'l palu (gun), llanza (qiang), cayada (guai), espada de ganchu (gou) y la espada reuta y de doble filu (jian).;;;;wiktionary_es;Bagua
ast;paella;"Iberus gualtieranus alonensis, la baqueta o serrana, apreciadísima na Comunidá Valenciana, Rexón de Murcia y sur de Cataluña y Aragón; utilícense especialmente pa la ellaboración de la paella.";;;;wiktionary_es;Cascoxu
ast;desarrollar;Bután ye tamién un país pioneru en desarrollar el conceptu de felicidá nacional bruta.;;;;wiktionary_es;Bután
ast;haiga;Mientres los sos compañeros, guardias de casa presidencial, solíen dicir: «haiga» y «naide», Romeo escribía coses como: «sois chacales buscando un cadáver que roer».;;;;wiktionary_es;Carlos Castillo Armas
ast;lladriyu;El nome provién de les plantíes qu'utilizaben los canteros pa llabrar les piedres, y que s'utilicen pa dar la citada forma al lladriyu.;;;;wiktionary_es;Lladriyu
ast;click;Soníos click (n'alemán) Archiváu 2011-11-15 en Wayback Machine Klaus Wagner: Einführung in Phonetik und Phonologie Die Sprachen Afrikas Archiváu 2007-06-27 en Wayback Machine Gibt ye primitive Sprachen?;;;;noun_raw;Chasquíu consonánticu
ast;cerveza;Cerveza ambrée (Dorao) Cerveza blanco o de trigu Bière blanche.;;;;wiktionary_es;Cerveza
ast;botes;Anque la mayoría de los xugadores empleguen un tipu de calzáu específico denomináu, ente otres maneres, «botes de fútbol», les regles nun especifiquen que tengan tacos.;;;;noun_plural_native;Equipamientu de los futbolistes
ast;rodiya;El “fouetté bas” (circular cola rodiya) correspuéndese aproximao col low-kick circular de les otres disciplines.;;;;wiktionary_es;Patada baxa
ast;tractor;Munchos tractores fornen dende va años un sistema de diagnósticu de Bus Can, ye dicir un sistema de dos cables que percuerren tol tractor(can hi y can low) apurriendo información de tolos sensores, potenciómetros, reguladores...;;;;wiktionary_en;Tractor
ast;log;"El términu ""blog"" vien de les pallabres ""web"" y ""log"" (Log n'inglés ye diariu).";;;;noun_raw;Blogue
ast;líder;Tres el decesu del primer líder soviéticu, Vladímir Lenin, en 1924, Josif Stalin acabó ganando la llucha pol poder y dirixió’l país a traviés d'una industrialización a gran escala con una economía centralizada y, al mesmu tiempu, con represión política.;;;;wiktionary_en;Xunión Soviética
ast;postes;Pa los partíos d'individuales, si usa una rede d'individuales, los centros de los postes de la rede tán a 0,914 m fora de cada llau de la llinia d'individuales.;;;;noun_plural_native;Tenis
ast;linkes;"Ein Seelengemälde aus dem Alterthume (1888), de Oscar Linkes; Der Kaiser (1890) del exiptólogu alemán Georg Ebers; Antinous oder die Reise eines Kaisers (1955), de Ernst Sommers; y Antinous, Geliebter!";;;;noun_plural_native;Antínoo
ast;ban;Ban dixo que'l so únicu hobby ye'l golf, pero que solo lo xuega un par de vegaes al añu.;;;;noun_raw;Ban Ki-moon
ast;tostador;Tostador de Lata Ye un aparatu que suel ocupase en cocines a gas.;;;;wiktionary_es;Tostadora
ast;Ḥawai;Almitíu el 21 d'agostu de 1959, Ḥawai foi l'estáu númberu 50 en xuntase a los Estaos Xuníos.;;;;wiktionary_en;Ḥawai
ast;escuchar;Ardèche (pronunciación en francés: /aʁdɛʃ/( escuchar), occitanu: Ardecha, francoprovenzal: Ardecha) ye un departamentu francés de la rexón d'Auvernia-Ródanu-Alpes.;;;;wiktionary_es;Ardèche
ast;abetu;idahoensis Abies concolor — Abetu del Colorado Abies concolor subsp.;;;;wiktionary_es;Abies
ast;tuits;Básicamente, trátase de tuits col patrociniu de dalguna empresa qu'apaecen como primer resultancia cuando realicemos una busca de mensaxes nel serviciu.;;;;noun_plural_english;Twitter
ast;seguridá;En munchos países escarecen de controles de seguridá y escáneres de metal, pero adulces fuéronse incorporando.;;;;wiktionary_es;Aeropuertu
ast;chates;Los xéneros Eustephia, Hieronymiella y Chlidanthus presenten granes seques, chates y discoideas.;;;;noun_plural_native;Amaryllidaceae
ast;llexos;llexos (Castellanu: lejos) (Asturianu: lloñe/llonxe) ocho dende'l Castellanu: ocho.;;;;wiktionary_es;Castellanismu (llingüística)
ast;server;Otros productos Al pie de Windows y Office, Microsoft cunta con una amplia gama de productos ente los que destaquen:  Biztalk Server: Automatización y xestión de procesos empresariales.;;;;noun_raw;Microsoft
ast;apps;Delles apps por defectu tán reescritas pa tomar ventaya de la pantalla más grande.;;;;noun_plural_english;IOS
ast;alambre;Al metal que quier convertise n'alambre dáse-y primero la forma d'una barra, y dempués endelgazar y sácase punta a unu de los estremos de la barra pa pasala socesivamente pelos distintos furacos de la filera, de mayor a menor, hasta que la barra de metal quede convertida n'alambre de la grosez deseyada.;;;;wiktionary_es;Alambre
ast;aguacate;La pallabra guacamole provién del náhuatl ahuacamolli, ‘mueyu d'aguacate'.;;;;wiktionary_es;Persea americana
ast;tages;Etimoloxía  Tagetes: nome xenéricu que provién de la mitoloxía etrusca Tages.;;;;noun_plural_native;Tagetes nelsonii
ast;updates;Distribution Atlas of Plants in the Flora Palaestina Área (Flora Palaestina part 5) Online updates: https://web.archive.org/web/20070828033350/http://flora.huji.ac.il/browse.asp?lang=en&action=showfile&fileid=14005  Australasia Flora d'Australia Flora de Nueva Zelanda series: Allan, H.H.;;;;noun_plural_native;Flora
ast;clicks;Interview mit Christa Kilian-Hatz Archiváu 2005-09-15 en Wayback Machine Exemplos de clicks na llingua !Xóõ Archiváu 2012-06-14 en Wayback Machine;;;;noun_plural_english;Chasquíu consonánticu
ast;format;BarcodeRobot Dexa xenerar códigos de barres a partir de númberos ISBN format pdf (n'inglés).;;;;noun_raw;ISBN
ast;plomu;Estudios sobre la conducta Un estudiu realizáu en mayu de 2000 pol consultor económicu Rick Nevin demostró qu'ente un 65 % y un 90 % de los crimen violentos cometíos n'Estaos Xuníos tienen como causa la esposición al plomu.;;;;wiktionary_es;Plomu
ast;pauta;Tien dataose, por datación radiocarbónica, por investigación de la pauta de deforestación y pola variabilidá del ADN mitocondrial na población maorí, alredor de 1250-1300 como la fecha na que pobladores polinesios, dempués d'una llarga serie de viaxes poles islles del Pacíficu sur, aportaron a Nueva Zelanda.;;;;wiktionary_es;Nueva Zelanda
ast;arguyu;Tamién destaca'l Mardi Gras gai y lésbicu de Sydney qu'a diferencia de les otres marches del arguyu celebrar en febreru, rematando'l branu austral.;;;;wiktionary_es;Día Internacional del Arguyu LGBT
ast;xamón;Xamón de Huelva, Xamón Ibéricu D.;;;;wiktionary_es;Xamón
ast;tenedor;Suel ser emplegáu como tenedor de propósitu xeneral, al igual que'l cuchiellu de mesa y ye por esta razón pola que ye bien habitual na mesa.;;;;wiktionary_es;Cubertería
ast;abadexu;El cardu yesqueru o cardo abadexu ye la especie Echinops ritro, una planta de la familia de les Asteraceae, natural d'Europa central y meridional, Asia occidental y Siberia.;;;;wiktionary_es;Echinops ritro
ast;tuit;"El llamáu ye un distintivu ""tuit"", y el soníu tien rápidos trinos y píos.";;;;noun_raw;Linaria flavirostris
ast;pixel;La llinia de dispositivos Pixel inclúi la tableta Pixel C, los ordenadores portátiles y los teléfonos intelixentes Pixel, y puede mercase al traviés de Google Store o en tiendes minoristes.;;;;noun_raw;Google Pixel
ast;impuestu;22 de marzu: Estaos Xuníos - Fuerte tensión ente Gran Bretaña y les sos colonies americanes pol votu de la Stamp Act (llei del timbre) qu'aplica un impuestu sobre documentos xurídicos y oficiales, pólices de seguros, xuegos de dados, publicaciones tales como periódicos y llibros, etc.;;;;wiktionary_es;1765
ast;llimitar;"L'Horizonte (del griegu ""orizon"": llimitar) ye la llinia qu'aparentemente separta'l cielu y la Tierra; ésta llinia involucra un espaciu circular de la superficie de la Tierra.";;;;wiktionary_es;Horizonte
ast;mariposa;Nymphalis californica Polygonia c-album Junonia coenia Libytheana carinenta Hamadryas februa Chlosyne janais Limenitis lorquini Euphydryas aurinia Maniolis jurtina Nymphalis antiopa Danaus plexippus - Mariposa Monarca.;;;;wiktionary_es;Nymphalidae
ast;bandera;Ye dueñu de tolos derechos asociaos a los símbolos olímpicos, la bandera, himnu, lema, xuramentu y los xuegos.;;;;wiktionary_es;Comité Olímpicu Internacional
ast;nivel;La utilidá principal de la clasificación ye que nun nivel científicu haya un consensu xeneral y cuasi universal pa establecer un orde esquemáticu sobre la descomanada bayura y diversidá de los organismos.;;;;wiktionary_es;Clasificación biolóxica
ast;forwards;"Pueden cotizase en mercaos entamaos (como les bolses) o extrabursátiles (""OTC"")  Tipoloxía Dependiendo del tipu de contratu Operación de permuta financiera («Swaps») Los contratos de futuros, forwards y compraventes a plazu axustaos o non nun mercáu o sistema entamáu de negociación.";;;;noun_plural_english;Deriváu financieru
ast;lleva;La base de datos fíxose editable pa los autores, lo que lleva a actualizaciones más frecuentes del sitiu web.;;;;wiktionary_en;Mammal Species of the World
ast;Don Quixote;Principales obres La Galatea (1585) La Numancia (obra de teatru) Los tratos de Argel (teatru) Don Quixote (Parte 1) (1605) Noveles Exemplares (1613) Viaje del Parnaso (poema) Don Quixote (Parte 2) (1615) Persiles y Sigismunda (c.1615)  Referencies Enllaces esternos  Wikimedia Commons acueye conteníu multimedia sobre Miguel de Cervantes.;;;;wiktionary_es;Miguel de Cervantes
ast;downloads;El procesu d'ataque Drive-by Downloads realizar de manera automática por aciu ferramientes que busquen nel sitiu web dalguna vulnerabilidá.;;;;noun_plural_english;Malware
ast;software;Germplasm Resources Information Network o GRIN ye un proyeutu de software en llinia del Programa Nacional de Recursos Xenéticos del Departamentu d'Agricultura de los Estaos Xuníos p'apurrir información de germoplasma de plantes, animales y microbios.;;;;noun_raw;Germplasm Resources Information Network
ast;clouds;Ella ganó'l premiu Rising Star BAFTA en 2010, y convirtióse na primer actriz d'Estaos Xuníos en ganar un Premiu César, cuando ganó a meyor actriz de repartu en 2015 pol so papel xunto a Juliette Binoche en Clouds of Sils Maria (2014).;;;;noun_plural_english;Kristen Stewart
ast;user;La interfaz gráfica d'usuariu o GUI (n'inglés graphical user interface) La interfaz gráfica de los ordenadores foi diseñada cola fin d'ocultar el verdaderu funcionamientu de la máquina, ya que yera mui complicao pa los usuarios tipo.;;;;noun_raw;Interfaz gráfica d'usuariu
ast;hardware;"Modelu orixinal Hai cinco modelos orixinales de hardware de la PlayStation 3 que son mentaos davezu pol tamañu de la so unidá de discu duru: ""20"", ""40"", ""60"", ""80"", ""160"".";;;;noun_raw;PlayStation 3
ast;nación;Por nacionalismu pue entendese:  L'afeición, enclín o ciñu de los ciudadanos a la nación-reconocida o non como tala na llexislación a la que pertenecen.;;;;wiktionary_es;Nacionalismu
ast;softwares;Cola llegada de iOS 9.1, ye imposible atopar vulnerabilidaes qu'afecten al dispositivu, llevándo-y a Apple, a ocupar el puestu más altu na llista de los softwares más seguros.;;;;noun_plural_native;IOS
ast;update;"An update of the Angiosperm Phylogeny Group classification for the orders and families of flowering plants: APG II (enllaz rotu disponible n'Internet Archive; ver l'historial y la última versión).";;;;noun_raw;Rosales
ast;abandonar;Costante Girardengo, líder hasta entós, viose obligáu a abandonar mientres l'intre de la 7ª etapa, lo cual dexó'l Giro d'Italia en bandexa a Brunero, vencedor a lo postrero de la carrera.;;;;wiktionary_es;Giro d'Italia 1926
