lang;term;sentence;IS_VALID_LOAN;OTHER_LOANS;NOTES;category;type;source_page
ast;conciencia;Franz Jägerstätter, oxetor de conciencia.;;;;established;wiktionary_es;Decapitamientu
ast;Alexandru;Persones relevantes Alexandru Magnu (356-323 e.;;;;established;wiktionary_es;Sieglu IV e.C.
ast;rodiya;Davezu empléguense como “armes” una mano o un pie (que tienen distintes superficies de contautu posibles), pero tamién pueden usase los deos de les manes o de los pies, la cabeza, el coldu, un nudiellu, o una rodiya.;;;;established;wiktionary_es;Rompimientos (artes marciales)
ast;furacán;El Furacán de Galveston de 1900, que fizo entrada en tierra en Galveston (Texas) con una estimación de Categoría 4, acabó cola vida de 8.000 a 12.000 persones y sigue siendo'l desastre natural más mortíferu na hestoria d'Estaos Xuníos.;;;;established;wiktionary_es;Ciclón tropical
ast;usté;La historia clasifícase  Disciplines y ciencies auxiliares de la historia  Arqueoloxía Epigrafía Historiografía Numismática  Referencies Ver tamién Repertoriu de fechos  Nota: Si usté fai dalguna aportación nesti sen en Wikipedia, rogamos-y que consulte primero la seición de plantilles de cronoloxía, pa asina algamar una coherencia ente tolos autores.;;;;established;wiktionary_es;Historia
ast;lladriyu;Los materiales emplegaos na so construcción pueden ser de piedra, llamaos doveles, lladriyu, aceru, formigón armao, etcétera.;;;;established;wiktionary_es;Bóveda
ast;planchar;Notes d'usu Planchar tán disponibles como un productu de consumu a precios accesibles.;;;;established;wiktionary_es;Plancha de ropa
ast;aguacate;En Colombia l'aguacate más estendíu ye de piel verde y carne mariello.;;;;established;wiktionary_es;Persea americana
ast;dotor;Referencies Enllaces esternos Carlos Dotor na Internet Movie Database (n'inglés) Carlos Dotor en BDFutbol (castellán) Carlos Dotor en LaPreferente (castellán) Carlos Dotor en Soccerway (n'inglés) Carlos Dotor en Transfermarkt (n'inglés) Carlos Dotor en L'Équipe (en francés);;;;established;wiktionary_es;Carlos Dotor
ast;filme;Sicasí, el respaldu que delles figures del mundu políticu diéron-y a esta película dio credibilidá y prestíu al filme.;;;;established;wiktionary_en;Martin Scorsese
ast;nivel;La Llista Roxa d'Especies Amenazaes de la UICN (tamién denominada en delles ocasiones como'l Llibru Coloráu), creada en 1963, ye l'inventariu más completu del Estáu de caltenimientu d'especies d'animales y plantes a nivel mundial.;;;;established;wiktionary_es;Llista Bermeya de la UICN
ast;arzobispu;Tomás Becket (1118-1170): santu y mártir, arzobispu de Canterbury.;;;;established;wiktionary_es;Sieglu XII
ast;cangrexu;Mitoloxía Yera un pequeñu cangrexu qu'unvió la diosa Hera p'acabar cola vida d'Heracles mentanto esti lluchaba escontra la Hidra.;;;;established;wiktionary_es;Cáncer (constelación)
ast;tiza;Cuatro estrato xeolóxicos, sedimentos marinos previstos 90-100 con tiza en superior y mediu percima de la tiza más baxa llixeramente permeable y finalmente impermeables y un estratu arenosu.;;;;established;wiktionary_es;Eurotúnel
ast;guai;Empléguense tamién otres armes más convencionales, como'l palu (gun), llanza (qiang), cayada (guai), espada de ganchu (gou) y la espada reuta y de doble filu (jian).;;;;established;wiktionary_es;Bagua
ast;polu;Tolos planetes y satélites tienen un polu Norte que defínese d'esta manera y que nun ye necesariamente perpendicular al exe de tresllación (por exemplu na Tierra tien un ángulu de 23,5 º y n'Uranu de 90 º).;;;;established;wiktionary_en;Polu Norte
ast;paella;"Iberus gualtieranus alonensis, la baqueta o serrana, apreciadísima na Comunidá Valenciana, Rexón de Murcia y sur de Cataluña y Aragón; utilícense especialmente pa la ellaboración de la paella.";;;;established;wiktionary_es;Cascoxu
ast;brazalete;Escuchando col estetoscopiu l'arteria braquial nel coldu, l'esaminador llibera amodo la presión nel brazalete.;;;;established;wiktionary_es;Presión sanguínea
ast;llexos;llexos (Castellanu: lejos) (Asturianu: lloñe/llonxe) ocho dende'l Castellanu: ocho.;;;;established;wiktionary_es;Castellanismu (llingüística)
ast;llimitar;"L'Horizonte (del griegu ""orizon"": llimitar) ye la llinia qu'aparentemente separta'l cielu y la Tierra; ésta llinia involucra un espaciu circular de la superficie de la Tierra.";;;;established;wiktionary_es;Horizonte
ast;seguridá;L'antecesora de les Naciones Xuníes foi la Sociedá de Naciones, organización fundada tres la Primer Guerra Mundial en 1919, pa promover la cooperación internacional y consiguir la paz y la seguridá.;;;;established;wiktionary_es;Organización de les Naciones Xuníes
ast;Don Quixote;El so orixe como téunica y xéneru lliterariu ta nel sieglu XVII n'español, siendo'l so meyor exemplu Don Quixote de la Mancha (1605) de Miguel de Cervantes.;;;;established;wiktionary_es;Novela
ast;lleva;"La exa o raquis ye la parte allargada del tarmu que lleva les cañes floríferas; si ye curtiu y ta enancháu en forma de platu llámase receptáculu común.";;;;established;wiktionary_en;Inflorescencia
ast;añoranza;Inclusive cuando se siente añoranza o murria pol pasáu, esa emoción sentir dende'l presente, y lo mesmo puede dicise de la medrana al futuru.;;;;established;wiktionary_es;Poema
ast;automóvil;Referencies Enllaces esternos   Wikimedia Commons tien conteníu multimedia tocante a Automóvil.;;;;established;wiktionary_es;Automóvil
ast;xastre;Creció en Long Island col so padrastru que yera un xastre y la so madre que yera una modelu.;;;;established;wiktionary_es;Donna Karan
ast;mariposa;Nymphalis californica Polygonia c-album Junonia coenia Libytheana carinenta Hamadryas februa Chlosyne janais Limenitis lorquini Euphydryas aurinia Maniolis jurtina Nymphalis antiopa Danaus plexippus - Mariposa Monarca.;;;;established;wiktionary_es;Nymphalidae
ast;bandera;El prestixu etíope vién-y de tener sío l'únicu estáu africanu que llogró resistir militarmente l'anexión por dalguna de les potencies europees que se repartieron el continente nel sieglu XIX, y esto fizo que munches naciones africanes adoptaran los colores de la bandera etíope de la qu'inventaron una bandera nacional dempués d'algamar la independencia.;;;;established;wiktionary_es;Etiopía
ast;pauta;Tien dataose, por datación radiocarbónica, por investigación de la pauta de deforestación y pola variabilidá del ADN mitocondrial na población maorí, alredor de 1250-1300 como la fecha na que pobladores polinesios, dempués d'una llarga serie de viaxes poles islles del Pacíficu sur, aportaron a Nueva Zelanda.;;;;established;wiktionary_es;Nueva Zelanda
ast;médicu;"Santiago Ramón y Cajal, médicu y fisiólogu; Premiu Nobel en Fisioloxía o Medicina.";;;;established;wiktionary_es;Universidá de Barcelona
ast;haiga;La principal tema representada foi'l paisaxe, de cutiu con elementos como flores y páxaros, y yera avezáu la combinación de pintura y poesía (haiga).;;;;established;wiktionary_es;Arte de Xapón
ast;güelga;Güelga El Yali, en Chile.;;;;established;wiktionary_es;Güelga
ast;retrete;Ver tamién Agües negres Agües grises Bacín Orinal Instalaciones de los edificios Retretes en Xapón Día Mundial del Retrete Retrete ecolóxicu secu con separación de la orina Saneamientu ecolóxicu  Referencies Enllaces esternos   Wikimedia Commons tien conteníu multimedia tocante a Retrete.;;;;established;wiktionary_es;Retrete
ast;watt;Watt descubrió que la máquina de Newcomen taba gastando cuasi tres cuartos de la enerxía del vapor en calecer el pistón y el cilindru.;;;;established;wiktionary_en;James Watt
ast;falda;La cintura de la falda empezó a tar asitiada al altor del pechu (debaxo de los senos) y foi baxando pasu ente pasu hasta la cintura.;;;;established;wiktionary_es;Falda
ast;hacha;"Obres destacaes La noche celta (1991; foi traducida al francés) El okupa (1997) El hacha de bronce (1998) Brindis de sangre (2010)  Premios Medaya de plata d'Asturies nel añu 2003.";;;;established;wiktionary_es;Juan Noriega
ast;terraza;"L'accesu a la terraza del Hadish facer por una escalera monumental al este, de doble entamo, primero diverxentes y depués converxentes, y una escalera más pequeña de tramos converxentes al oeste; as dos presenten la mesma decoración que la escalera sur del Tachara: toros y lleones, guardias perses, discu aláu y esfinxe.";;;;established;wiktionary_es;Persépolis
ast;llevadura;Poro, emplégase en muncho procesos de formentación industrial, de mena asemeyada a la llevadura químico, por exemplu na producción de cerveza, vinu, hidromiel, pan, producción d'antibióticos, etc.;;;;established;wiktionary_es;Lleldu
ast;ḥenu;Úsase pa pallabres como ḥou, ḥenu, o ḥoquei.;;;;established;wiktionary_es;H
ast;nación;El nacionalismu románticu El nacionalismu románticu (tamién llamáu nacionalismu orgánicu y nacionalismu identitariu) ye la forma de nacionalismu étnicu pola que l'estáu deriva la so llexitimidá política como consecuencia natural (orgánica) y espresión de la nación o la raza.;;;;established;wiktionary_es;Nacionalismu
ast;ciencia;La clasificación biolóxica pertenez a la ciencia de la bioloxía sistemática.;;;;established;wiktionary_es;Clasificación biolóxica
ast;tractor;Tractor de construcción: Xeneralmente con accesorios tales como palas o brazos de retroexcavadoras.;;;;established;wiktionary_en;Tractor
ast;deuda;a) Deflación de la deuda Irving Fisher defende que'l factor principal que llevó a la Gran Depresión foi un círculu viciosu de deflación y sobreendeudamientu creciente, y alcontró nueve factores que, interactuando en condiciones de deuda escesiva y deflación, crearon los mecanismos propicios pa la quiebra económica.;;;;established;wiktionary_es;Gran Depresión
ast;impuestu;Impuestu de proteición a la comunidá islámica: pagáu por tolos cristianos pa garantizar la so seguranza nel estáu.;;;;established;wiktionary_es;Imperiu Otomanu
ast;cudiar;Poro, decidieron cudiar les tierres na so mayoría verdes y azules.;;;;established;wiktionary_es;Alderaan
ast;hacia;Una división que señala les diferencies culturales, llingüístiques y étniques ente los dos llaos de la llende, diferencies, sicasí, que van apaeciendo como un continuum según viaxamos hacia l'este n'Eurasia y qu'en dengún casu reflexen realidaes completamente estremaes.;;;;established;wiktionary_es;Europa
ast;doctor;Doctor Mateo España, 2009.;;;;established;wiktionary_es;Médicu
ast;abetu;phanerolepis Abies bifolia Abies lasiocarpa — Abetu alpín Abies lasiocarpa var.;;;;established;wiktionary_es;Abies
ast;bufanda;Sobre'l sakkos lleva'l omoforio, bufanda de llana de gran tamañu que se doblar alredor de la cabeza y cai per delantre y por detrás.;;;;established;wiktionary_es;Obispu
ast;alambre;A lo último, cuando se lleva a cabu un cambéu químicu, una sustancia tresformar n'otra totalmente distinta, por casu, aferruñar un alambre metálicu, o cuando reacciona un ácidu con un álcali.;;;;established;wiktionary_es;Sustancia químico
ast;softwares;Son cada vez más comunes los softwares que formatean la seición de especímenes esaminaos a partir de la planilla de datos, y tamién puede formatearse en forma de data paper un set d'escurrimientos pa publicación formal.;;;;new;noun_plural_native;Taxonomía
ast;trolles;Historia Rafal mientres la Romanización Les tierres de la Vega Baxa yeren trolles y banzaos cuando fai 100.000 años nel Paleolíticu Mediu l'home Neanderthal daba los sos primeros pasos per Europa.;;;;new;noun_plural_native;Rafal
ast;formates;"Los dos teunoloxíes primaries que xeneren formes d'ondes sintétiques de voz son la ""síntesis concatenativa"" y la ""síntesis de formates"".";;;;new;noun_plural_native;Síntesis de fala
ast;pixeles;Tien una pantalla de 7.9 pulgaes con una resolución de 2048 × 1536 pixeles con una densidá de 326 ppp.;;;;new;noun_plural_native;IPad
ast;format;BarcodeRobot Dexa xenerar códigos de barres a partir de númberos ISBN format pdf (n'inglés).;;;;new;noun_raw;ISBN
ast;linkes;"Ein Seelengemälde aus dem Alterthume (1888), de Oscar Linkes; Der Kaiser (1890) del exiptólogu alemán Georg Ebers; Antinous oder die Reise eines Kaisers (1955), de Ernst Sommers; y Antinous, Geliebter!";;;;new;noun_plural_native;Antínoo
ast;logs;Rexistru de conversaciones y gueta en logs.;;;;new;noun_plural_english;Empathy
ast;hardwares;Los fabricantes de mainframes y miniordenadores d'esi tiempu llanzaron programes de desenvolvimientu de IC propietarios p'actualizar los sos arquitectures d'ordenadores más vieyes y eventualmente producir microprocesadores con conxuntu d'instruiciones conxuntos d'instruiciones que yeren retrocompatibles coles sos hardwares y softwares más vieyos.;;;;new;noun_plural_native;Unidá central de procesamientu
ast;tuits;Obra Ficción Micronopia (2011) microrrelatos La fía del Caribe (2012) rellatu Soledad, una colombiana en Madrid (2012) novela Pop Porn (2013) microrrelatos Microscópicos (2014) microrrelatos, antoloxía personal Güeyos de tinta (2014) tuits ilustraos #Femituits  Non ficción Sexo sin comillas (2015)  Inclusiones n'antoloxíes de microrrelatu Elles cunten menos.;;;;new;noun_plural_english;María Paz Ruiz Gil
ast;botes;Sicasí, esisten importantes anécdotes sobre xugadores que nun usaron botes.;;;;new;noun_plural_native;Equipamientu de los futbolistes
ast;click;Soníos click (n'alemán) Archiváu 2011-11-15 en Wayback Machine Klaus Wagner: Einführung in Phonetik und Phonologie Die Sprachen Afrikas Archiváu 2007-06-27 en Wayback Machine Gibt ye primitive Sprachen?;;;;new;noun_raw;Chasquíu consonánticu
ast;ban;Este aprofió que Ban tenía «una rara combinación de claridá analítica, humildá y esfotu».;;;;new;noun_raw;Ban Ki-moon
ast;faciendo click;Puede consultase datos del so castiellu y de la ilesia románica qu'ellí esistieron faciendo click equí: http://www.arquivoltas.com/5-HU-Somontano/990419-Castillazuelo1.htm Archiváu 2018-03-10 en Wayback Machine 1126 - 1199, a lo menos, de realengu por presentar tenentes (UBIETO ARTETA, Los Tenentes, p.;;;;new;verb_light_construction;Castillazuelo
ast;app;"La pantalla inicial de iOS contién delles aplicaciones, dalgunes de les cuales tán ocultes por defectu y pueden ser activaes pol usuariu por aciu l'aplicación ""Axustes"", por casu, Nike+iPod o la app de iCloud Drive tienen de ser activaes dende los Axustes.";;;;new;noun_raw;IOS
ast;forwards;Deporte Ala, denominación reglamentaria n'español d'una posición dientro d'un equipu de rugby (forwards).;;;;new;noun_plural_english;Ala
ast;chates;"Thlaspi arvense (carraspique, zurrón bolivianu) ye una especie botánica de planta con flor, fedienta, de Eurasia, con silicues chates; naturalizada en Norteamérica, onde ye una maleza acuática y terrestre.";;;;new;noun_plural_native;Thlaspi arvense
ast;server;Los usuarios de Windows XP y Windows Server 2003 que tienen copies orixinales de Microsoft Windows pueden descargar llibremente'l programa dende'l sitiu web de Microsoft y Windows Defender suminístrase como parte de Windows Vista y 7.Windows Defender y Microsoft Security Essentials combináronse nun solu programa, denomináu Windows Defender.;;;;new;noun_raw;Microsoft Windows
ast;clicks;Kießling y Mous suxeren qu'estes eyectivas son restos de clicks presenten nel sustratu d'estes llingües.;;;;new;noun_plural_english;Llingües cushites meridionales
ast;cloud;Cloud dynamics, R.A.;;;;new;noun_raw;Nube
ast;loges;Referencies Enllaces esternos  Wikimedia Commons acueye conteníu multimedia sobre Les Grandes-Loges.;;;;new;noun_plural_native;Les Grandes-Loges
ast;interface;Forma parte del conxuntu GNOME Office, y distribúise con Ubuntu La so interface gráfica y funcionalidá aseméyase muncho a l'aplicación Microsoft Outlook.;;;;new;noun_raw;Evolution
ast;apps;(por casu, un númberu de teléfonu puede ser escoyíu dende un corréu electrónicu y guardalo como un contautu o pa faer una llamada) El iPod Touch tien les mesmes apps que tán presentes nel iPhone, con esceición de Teléfonu, Mensaxes (anque si iMessage) y Brúxula.;;;;new;noun_plural_english;IOS
ast;downloads;Drive-by download Google afayó qu'una de cada 10 páxina web que fueron analizaes a fondura puede contener les llamaes drive-by downloads o descargues automátiques, que son sitios qu'instalen spyware o códigos que dan información de los equipos ensin que l'usuariu decatar.;;;;new;noun_plural_english;Malware
ast;users;http://www.nlm.nih.gov/medlineplus/spanish/ency/article/000045.htm http://www.ambitoweb.com/servicios/salud/manual12.asp Archiváu 2006-08-26 en Wayback Machine http://escuela.med.puc.cl/publ/patologiageneral/Patol_049.html Archiváu 2016-05-09 en Wayback Machine http://www.salud.bioetica.org/shock.htm http://www.ctv.es/USERS/sos/aparcirc.htm#ppaashhi;;;;new;noun_plural_english;Hemorraxa
ast;hardware;Ente los productos de hardware más conocíos de la empresa cuenta con equipos Macintosh, l'iPod l'iPhone y l'iPad.;;;;new;noun_raw;Apple
ast;tags;L'usu de la norma foi sofitáu por IETF language tags, introducíu por RFC 1766 en marzu de 1995, y siguíu por RFC 3066 en xineru de 2001 y por RFC 4646 en setiembre de 2006.;;;;new;noun_plural_english;ISO 639-1
ast;chat;"Pa esto ye necesariu instalar un complementu , un programa que queda siempres residente y dende cualquier navegador web añade'l botón de llamar a los perfiles y al chat web de Facebook; en realidá esti serviciu ye independiente de Skype (Un usuariu de Skype nun puede faer contauto vía voz o videu a usuarios de Facebook, nin estos a ellos, inclusive col complementu de navegador instaláu).";;;;new;noun_raw;Skype
ast;hack;& Bobrov Festuca daghestanica (Tzvelev) Y.B.Alexeev Festuca densiuscula (Hack.;;;;new;noun_raw;Festuca rubra
ast;pixel;Google Pixel ye una llinia de dispositivos Electrónica de consumu electrónicos de consumu de Google que funcionen col sistema operativu Chrome o Android.;;;;new;noun_raw;Google Pixel
ast;postes;Pa los partíos de dobles, los centros de los postes de la rede tán asitiaos a 0,914 metros fuera de cada llau de la llinia de dobles.;;;;new;noun_plural_native;Tenis
ast;online;Ta reconocíu polos yerbarios d'Australia como la fonte autorizada pa la nomenclatura botánica australiana, siendo'l componente central del Australia's Virtual Herbarium, el proyeutu de collaboración con AU$10 millones en fondos, sofitando l'accesu integráu online a los datos y a les coleiciones de especímenes del mayor yerbariu d'Australia.;;;;new;noun_raw;Australian Plant Name Index
ast;onlines;Iron Man 3 Adaptation Captain America: The Winter Soldier Adaptation  Comics esclusivos Iron Man: The Price of Doing Business (Non canon) Iron Man: Security Measures (Canon) The Incredible Hulk: The Big Picture (Canon) Iron Man: Limited Edition (Adautación) Iron Man: Will Onlines Evil Prevails?;;;;new;noun_plural_native;Universu cinematográficu de Marvel
ast;software;Germplasm Resources Information Network o GRIN ye un proyeutu de software en llinia del Programa Nacional de Recursos Xenéticos del Departamentu d'Agricultura de los Estaos Xuníos p'apurrir información de germoplasma de plantes, animales y microbios.;;;;new;noun_raw;Germplasm Resources Information Network
ast;pixels;Tenía un diámetru aparente de 0,20 segundos d'arcu (4,5 pixels na cámara planetaria), la so forma ye aproximadamente esférica.;;;;new;noun_plural_english;19 Fortuna
ast;forward;2005–2008: crecedera Nel branu de 2005 Forward>> llevó a los DJs de grime a la primera plana del line up.;;;;new;noun_raw;Dubstep
ast;posts;Peking: Directorate General of Posts, 1919.;;;;new;noun_plural_english;Trescripción del sistema postal chinu
ast;hackes;Peter Hackes como Paul Moore.;;;;new;noun_plural_native;Broadcast News
ast;user;La interfaz gráfica d'usuariu o GUI (n'inglés graphical user interface) La interfaz gráfica de los ordenadores foi diseñada cola fin d'ocultar el verdaderu funcionamientu de la máquina, ya que yera mui complicao pa los usuarios tipo.;;;;new;noun_raw;Interfaz gráfica d'usuariu
ast;tuit;Sicasí, Evan Williams llueu desmintió esta información nun tuit qu'unvió'l 1 de mayu de 2008.;;;;new;noun_raw;Twitter
ast;escaniáu;El documentu orixinal ye escaniáu con una máquina de fax, que procesa los conteníos (testu o imáxenes) como una sola imaxe gráfica fixa, convirtiéndola nun mapa de bits, la información tresmítese como señales llétriques al traviés del sistema telefónicu.;;;;new;verb_participle_prescriptive;Mediu de comunicación
ast;likes;Tamién collaboró en Likes de la canal 0 de Movistar+.;;;;new;noun_plural_native;Javier Ambrossi
ast;estreames;Tamién estudió como estructures fixes los mitos, comprobando qu'en sociedaes estreames dábense histories asemeyaes.;;;;new;noun_plural_native;Estructuralismu
ast;servers;any @a.root-servers.net Y en un sistema MS DOS, executando: nslookup -type=any vrsn-end-of-zone-marker-dummy-record.root  Ver tamién Pseudodominio de nivel cimeru  Referencies   == Enllaces esternos ==;;;;new;noun_plural_english;.root
ast;formats;Protocolos y medios extrayibles Fonte: VLC playback Features - Input formats  Formatos contenedores Fonte: VLC playback Features - Input formats  Formatos de videu Fonte: VLC playback Features - Video formats  Formatos d'audio Fonte: VLC playback Features - Audio formats  Formatos de subtítulos y etiquetes Ver tamién Rhythmbox Banshee Amarok Totem Audacious Media Player   == Referencies ==;;;;new;noun_plural_english;VLC media player
