term,target_lang,origin_lang,source_category
backgammon,ast,en,Category:Asturian_terms_borrowed_from_English
filme,ast,en,Category:Asturian_terms_borrowed_from_English
lleva,ast,en,Category:Asturian_terms_borrowed_from_English
líder,ast,en,Category:Asturian_terms_borrowed_from_English
monis,ast,en,Category:Asturian_terms_borrowed_from_English
polu,ast,en,Category:Asturian_terms_borrowed_from_English
tractor,ast,en,Category:Asturian_terms_borrowed_from_English
watt,ast,en,Category:Asturian_terms_borrowed_from_English
Ḥawai,ast,en,Category:Asturian_terms_borrowed_from_English
abadexu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
abandonar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
abetu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
aguacate,ast,es,Category:Asturian_terms_borrowed_from_Spanish
alambre,ast,es,Category:Asturian_terms_borrowed_from_Spanish
Alexandru,ast,es,Category:Asturian_terms_borrowed_from_Spanish
allexar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
arguyu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
arzobispu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
automóvil,ast,es,Category:Asturian_terms_borrowed_from_Spanish
añoranza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
bandera,ast,es,Category:Asturian_terms_borrowed_from_Spanish
brazalete,ast,es,Category:Asturian_terms_borrowed_from_Spanish
bufanda,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cai,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cangrexu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cerveza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
ciencia,ast,es,Category:Asturian_terms_borrowed_from_Spanish
conciencia,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cucaracha,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cudiar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
cuidáu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
desarrollar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
deuda,ast,es,Category:Asturian_terms_borrowed_from_Spanish
doctor,ast,es,Category:Asturian_terms_borrowed_from_Spanish
Don Quixote,ast,es,Category:Asturian_terms_borrowed_from_Spanish
dotor,ast,es,Category:Asturian_terms_borrowed_from_Spanish
echar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
escuchar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
falda,ast,es,Category:Asturian_terms_borrowed_from_Spanish
furacán,ast,es,Category:Asturian_terms_borrowed_from_Spanish
guai,ast,es,Category:Asturian_terms_borrowed_from_Spanish
güelga,ast,es,Category:Asturian_terms_borrowed_from_Spanish
hacha,ast,es,Category:Asturian_terms_borrowed_from_Spanish
hacia,ast,es,Category:Asturian_terms_borrowed_from_Spanish
haiga,ast,es,Category:Asturian_terms_borrowed_from_Spanish
hospital,ast,es,Category:Asturian_terms_borrowed_from_Spanish
impuestu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
lladriyu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
llevadura,ast,es,Category:Asturian_terms_borrowed_from_Spanish
llexos,ast,es,Category:Asturian_terms_borrowed_from_Spanish
llimitar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
mariposa,ast,es,Category:Asturian_terms_borrowed_from_Spanish
médicu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
nación,ast,es,Category:Asturian_terms_borrowed_from_Spanish
nivel,ast,es,Category:Asturian_terms_borrowed_from_Spanish
ocho,ast,es,Category:Asturian_terms_borrowed_from_Spanish
paella,ast,es,Category:Asturian_terms_borrowed_from_Spanish
pauta,ast,es,Category:Asturian_terms_borrowed_from_Spanish
piraña,ast,es,Category:Asturian_terms_borrowed_from_Spanish
piḥu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
planchar,ast,es,Category:Asturian_terms_borrowed_from_Spanish
plomu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
retrete,ast,es,Category:Asturian_terms_borrowed_from_Spanish
rodiya,ast,es,Category:Asturian_terms_borrowed_from_Spanish
seguridá,ast,es,Category:Asturian_terms_borrowed_from_Spanish
sombriya,ast,es,Category:Asturian_terms_borrowed_from_Spanish
tenedor,ast,es,Category:Asturian_terms_borrowed_from_Spanish
terraza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
tiza,ast,es,Category:Asturian_terms_borrowed_from_Spanish
tostador,ast,es,Category:Asturian_terms_borrowed_from_Spanish
usté,ast,es,Category:Asturian_terms_borrowed_from_Spanish
xamón,ast,es,Category:Asturian_terms_borrowed_from_Spanish
xastre,ast,es,Category:Asturian_terms_borrowed_from_Spanish
zanahoria,ast,es,Category:Asturian_terms_borrowed_from_Spanish
ḥenu,ast,es,Category:Asturian_terms_borrowed_from_Spanish
bridge,eu,en,Category:Basque_terms_borrowed_from_English
copyleft,eu,en,Category:Basque_terms_borrowed_from_English
copyright,eu,en,Category:Basque_terms_borrowed_from_English
dolar,eu,en,Category:Basque_terms_borrowed_from_English
porlan,eu,en,Category:Basque_terms_borrowed_from_English
quark,eu,en,Category:Basque_terms_borrowed_from_English
squash,eu,en,Category:Basque_terms_borrowed_from_English
xanpu,eu,en,Category:Basque_terms_borrowed_from_English
ababor,eu,es,Category:Basque_terms_borrowed_from_Spanish
abade,eu,es,Category:Basque_terms_borrowed_from_Spanish
abadesa,eu,es,Category:Basque_terms_borrowed_from_Spanish
abadia,eu,es,Category:Basque_terms_borrowed_from_Spanish
abakando,eu,es,Category:Basque_terms_borrowed_from_Spanish
abako,eu,es,Category:Basque_terms_borrowed_from_Spanish
abal,eu,es,Category:Basque_terms_borrowed_from_Spanish
abandonu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abangoardismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abangoardista,eu,es,Category:Basque_terms_borrowed_from_Spanish
abantaila,eu,es,Category:Basque_terms_borrowed_from_Spanish
abarizia,eu,es,Category:Basque_terms_borrowed_from_Spanish
abdikazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abdomen,eu,es,Category:Basque_terms_borrowed_from_Spanish
abdukzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abemaria,eu,es,Category:Basque_terms_borrowed_from_Spanish
abenka,eu,es,Category:Basque_terms_borrowed_from_Spanish
abentura,eu,es,Category:Basque_terms_borrowed_from_Spanish
aberrazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abiazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abil,eu,es,Category:Basque_terms_borrowed_from_Spanish
abilidade,eu,es,Category:Basque_terms_borrowed_from_Spanish
abioneta,eu,es,Category:Basque_terms_borrowed_from_Spanish
abisal,eu,es,Category:Basque_terms_borrowed_from_Spanish
abisu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abitu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abixoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
ablatibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
ablazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abolizio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abolizionismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abolizionista,eu,es,Category:Basque_terms_borrowed_from_Spanish
abonu,eu,es,Category:Basque_terms_borrowed_from_Spanish
aborigen,eu,es,Category:Basque_terms_borrowed_from_Spanish
abortu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abrasio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abrigo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abrigu,eu,es,Category:Basque_terms_borrowed_from_Spanish
absentismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
abside,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutista,eu,es,Category:Basque_terms_borrowed_from_Spanish
absolutu,eu,es,Category:Basque_terms_borrowed_from_Spanish
absoluzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
absortzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstentzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstinentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstraktu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abstrakzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
absurdo,eu,es,Category:Basque_terms_borrowed_from_Spanish
Abundio,eu,es,Category:Basque_terms_borrowed_from_Spanish
abusu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abzesu,eu,es,Category:Basque_terms_borrowed_from_Spanish
abzisa,eu,es,Category:Basque_terms_borrowed_from_Spanish
accesit,eu,es,Category:Basque_terms_borrowed_from_Spanish
adberbial,eu,es,Category:Basque_terms_borrowed_from_Spanish
adberbio,eu,es,Category:Basque_terms_borrowed_from_Spanish
adenina,eu,es,Category:Basque_terms_borrowed_from_Spanish
adiabatiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerobik,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerobiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerobio,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerodinamika,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerodinamiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerodromo,eu,es,Category:Basque_terms_borrowed_from_Spanish
aeroespazial,eu,es,Category:Basque_terms_borrowed_from_Spanish
aeroklub,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerolito,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerometro,eu,es,Category:Basque_terms_borrowed_from_Spanish
aeromodelismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
aeronauta,eu,es,Category:Basque_terms_borrowed_from_Spanish
aeronautika,eu,es,Category:Basque_terms_borrowed_from_Spanish
aeronautiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
aeroplano,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerosol,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerostatika,eu,es,Category:Basque_terms_borrowed_from_Spanish
aerostato,eu,es,Category:Basque_terms_borrowed_from_Spanish
Afganistan,eu,es,Category:Basque_terms_borrowed_from_Spanish
agata,eu,es,Category:Basque_terms_borrowed_from_Spanish
agresibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
aire,eu,es,Category:Basque_terms_borrowed_from_Spanish
akademiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
Akitania,eu,es,Category:Basque_terms_borrowed_from_Spanish
aktibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
albaitari,eu,es,Category:Basque_terms_borrowed_from_Spanish
Albania,eu,es,Category:Basque_terms_borrowed_from_Spanish
albarikoke,eu,es,Category:Basque_terms_borrowed_from_Spanish
alboroke,eu,es,Category:Basque_terms_borrowed_from_Spanish
aleman,eu,es,Category:Basque_terms_borrowed_from_Spanish
Alemania,eu,es,Category:Basque_terms_borrowed_from_Spanish
alkandora,eu,es,Category:Basque_terms_borrowed_from_Spanish
alkatxofa,eu,es,Category:Basque_terms_borrowed_from_Spanish
alternatibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
altu,eu,es,Category:Basque_terms_borrowed_from_Spanish
altxaprima,eu,es,Category:Basque_terms_borrowed_from_Spanish
altzairu,eu,es,Category:Basque_terms_borrowed_from_Spanish
Amaia,eu,es,Category:Basque_terms_borrowed_from_Spanish
amerikano,eu,es,Category:Basque_terms_borrowed_from_Spanish
amodio,eu,es,Category:Basque_terms_borrowed_from_Spanish
amu,eu,es,Category:Basque_terms_borrowed_from_Spanish
anakroniko,eu,es,Category:Basque_terms_borrowed_from_Spanish
anakronismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
anana,eu,es,Category:Basque_terms_borrowed_from_Spanish
anarkia,eu,es,Category:Basque_terms_borrowed_from_Spanish
anarkismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
anarkista,eu,es,Category:Basque_terms_borrowed_from_Spanish
anbulantzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
Andorra,eu,es,Category:Basque_terms_borrowed_from_Spanish
Angola,eu,es,Category:Basque_terms_borrowed_from_Spanish
Anton,eu,es,Category:Basque_terms_borrowed_from_Spanish
antropologia,eu,es,Category:Basque_terms_borrowed_from_Spanish
antxoa,eu,es,Category:Basque_terms_borrowed_from_Spanish
aporofobia,eu,es,Category:Basque_terms_borrowed_from_Spanish
arbola,eu,es,Category:Basque_terms_borrowed_from_Spanish
ardura,eu,es,Category:Basque_terms_borrowed_from_Spanish
aristokratiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
aristokrazia,eu,es,Category:Basque_terms_borrowed_from_Spanish
armairu,eu,es,Category:Basque_terms_borrowed_from_Spanish
Armenia,eu,es,Category:Basque_terms_borrowed_from_Spanish
aro,eu,es,Category:Basque_terms_borrowed_from_Spanish
arpoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
arraro,eu,es,Category:Basque_terms_borrowed_from_Spanish
arraza,eu,es,Category:Basque_terms_borrowed_from_Spanish
arrazoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
arropa,eu,es,Category:Basque_terms_borrowed_from_Spanish
arroz,eu,es,Category:Basque_terms_borrowed_from_Spanish
arte,eu,es,Category:Basque_terms_borrowed_from_Spanish
artifizial,eu,es,Category:Basque_terms_borrowed_from_Spanish
artista,eu,es,Category:Basque_terms_borrowed_from_Spanish
artxipelago,eu,es,Category:Basque_terms_borrowed_from_Spanish
asimilazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
asteroide,eu,es,Category:Basque_terms_borrowed_from_Spanish
asto,eu,es,Category:Basque_terms_borrowed_from_Spanish
astronautika,eu,es,Category:Basque_terms_borrowed_from_Spanish
ateismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
audifono,eu,es,Category:Basque_terms_borrowed_from_Spanish
aupa,eu,es,Category:Basque_terms_borrowed_from_Spanish
auskalo,eu,es,Category:Basque_terms_borrowed_from_Spanish
autismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
automatiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
azido,eu,es,Category:Basque_terms_borrowed_from_Spanish
ba,eu,es,Category:Basque_terms_borrowed_from_Spanish
bagoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
bainu,eu,es,Category:Basque_terms_borrowed_from_Spanish
balbula,eu,es,Category:Basque_terms_borrowed_from_Spanish
bale,eu,es,Category:Basque_terms_borrowed_from_Spanish
balkoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
baloi,eu,es,Category:Basque_terms_borrowed_from_Spanish
bandalismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
bandera,eu,es,Category:Basque_terms_borrowed_from_Spanish
banku,eu,es,Category:Basque_terms_borrowed_from_Spanish
banpiro,eu,es,Category:Basque_terms_borrowed_from_Spanish
bapore,eu,es,Category:Basque_terms_borrowed_from_Spanish
barrena,eu,es,Category:Basque_terms_borrowed_from_Spanish
baso,eu,es,Category:Basque_terms_borrowed_from_Spanish
bata,eu,es,Category:Basque_terms_borrowed_from_Spanish
batel,eu,es,Category:Basque_terms_borrowed_from_Spanish
batxiler,eu,es,Category:Basque_terms_borrowed_from_Spanish
baxu,eu,es,Category:Basque_terms_borrowed_from_Spanish
belar,eu,es,Category:Basque_terms_borrowed_from_Spanish
benta,eu,es,Category:Basque_terms_borrowed_from_Spanish
berde,eu,es,Category:Basque_terms_borrowed_from_Spanish
Bernedo,eu,es,Category:Basque_terms_borrowed_from_Spanish
bertso,eu,es,Category:Basque_terms_borrowed_from_Spanish
bibote,eu,es,Category:Basque_terms_borrowed_from_Spanish
biologia,eu,es,Category:Basque_terms_borrowed_from_Spanish
biologo,eu,es,Category:Basque_terms_borrowed_from_Spanish
bisita,eu,es,Category:Basque_terms_borrowed_from_Spanish
bista,eu,es,Category:Basque_terms_borrowed_from_Spanish
Bizente,eu,es,Category:Basque_terms_borrowed_from_Spanish
bloke,eu,es,Category:Basque_terms_borrowed_from_Spanish
bolada,eu,es,Category:Basque_terms_borrowed_from_Spanish
bolante,eu,es,Category:Basque_terms_borrowed_from_Spanish
boligrafo,eu,es,Category:Basque_terms_borrowed_from_Spanish
bota,eu,es,Category:Basque_terms_borrowed_from_Spanish
botere,eu,es,Category:Basque_terms_borrowed_from_Spanish
botila,eu,es,Category:Basque_terms_borrowed_from_Spanish
boto,eu,es,Category:Basque_terms_borrowed_from_Spanish
botoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
boz,eu,es,Category:Basque_terms_borrowed_from_Spanish
brusa,eu,es,Category:Basque_terms_borrowed_from_Spanish
bufalo,eu,es,Category:Basque_terms_borrowed_from_Spanish
bumeran,eu,es,Category:Basque_terms_borrowed_from_Spanish
camping,eu,es,Category:Basque_terms_borrowed_from_Spanish
campus,eu,es,Category:Basque_terms_borrowed_from_Spanish
chihuahua,eu,es,Category:Basque_terms_borrowed_from_Spanish
cicerone,eu,es,Category:Basque_terms_borrowed_from_Spanish
cumbia,eu,es,Category:Basque_terms_borrowed_from_Spanish
dantza,eu,es,Category:Basque_terms_borrowed_from_Spanish
datibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
datu,eu,es,Category:Basque_terms_borrowed_from_Spanish
deklarazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
dekoratibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
dekorazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
demokrata,eu,es,Category:Basque_terms_borrowed_from_Spanish
demokratiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
demokratizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
demokrazia,eu,es,Category:Basque_terms_borrowed_from_Spanish
des-,eu,es,Category:Basque_terms_borrowed_from_Spanish
desindustrializazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
deskolonizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
desmilitarizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
desnazifikazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
dibertsio,eu,es,Category:Basque_terms_borrowed_from_Spanish
dibertsitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
diplomatiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
diplomazia,eu,es,Category:Basque_terms_borrowed_from_Spanish
disko,eu,es,Category:Basque_terms_borrowed_from_Spanish
dizipulu,eu,es,Category:Basque_terms_borrowed_from_Spanish
doinu,eu,es,Category:Basque_terms_borrowed_from_Spanish
dokumentu,eu,es,Category:Basque_terms_borrowed_from_Spanish
dominazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
dozena,eu,es,Category:Basque_terms_borrowed_from_Spanish
droga,eu,es,Category:Basque_terms_borrowed_from_Spanish
dromedario,eu,es,Category:Basque_terms_borrowed_from_Spanish
dutxa,eu,es,Category:Basque_terms_borrowed_from_Spanish
ebanjelio,eu,es,Category:Basque_terms_borrowed_from_Spanish
ekonomiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
enigma,eu,es,Category:Basque_terms_borrowed_from_Spanish
enigmatiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
entziklopedia,eu,es,Category:Basque_terms_borrowed_from_Spanish
epidemiologiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
ermita,eu,es,Category:Basque_terms_borrowed_from_Spanish
erraldoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
erramu,eu,es,Category:Basque_terms_borrowed_from_Spanish
erreferentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
erregela,eu,es,Category:Basque_terms_borrowed_from_Spanish
erresidentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
erresistentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
erru,eu,es,Category:Basque_terms_borrowed_from_Spanish
eskizofrenia,eu,es,Category:Basque_terms_borrowed_from_Spanish
eskribitu,eu,es,Category:Basque_terms_borrowed_from_Spanish
eslogan,eu,es,Category:Basque_terms_borrowed_from_Spanish
espazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
espezia,eu,es,Category:Basque_terms_borrowed_from_Spanish
espezie,eu,es,Category:Basque_terms_borrowed_from_Spanish
espiritu,eu,es,Category:Basque_terms_borrowed_from_Spanish
esportazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
estatua,eu,es,Category:Basque_terms_borrowed_from_Spanish
estrategia,eu,es,Category:Basque_terms_borrowed_from_Spanish
-ezia,eu,es,Category:Basque_terms_borrowed_from_Spanish
Ezkarai,eu,es,Category:Basque_terms_borrowed_from_Spanish
eztainu,eu,es,Category:Basque_terms_borrowed_from_Spanish
fakokero,eu,es,Category:Basque_terms_borrowed_from_Spanish
falta,eu,es,Category:Basque_terms_borrowed_from_Spanish
faltsu,eu,es,Category:Basque_terms_borrowed_from_Spanish
familia,eu,es,Category:Basque_terms_borrowed_from_Spanish
fardel,eu,es,Category:Basque_terms_borrowed_from_Spanish
fase,eu,es,Category:Basque_terms_borrowed_from_Spanish
fatxada,eu,es,Category:Basque_terms_borrowed_from_Spanish
feltro,eu,es,Category:Basque_terms_borrowed_from_Spanish
feria,eu,es,Category:Basque_terms_borrowed_from_Spanish
festa,eu,es,Category:Basque_terms_borrowed_from_Spanish
fidelitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
filosofia,eu,es,Category:Basque_terms_borrowed_from_Spanish
filosofo,eu,es,Category:Basque_terms_borrowed_from_Spanish
fin,eu,es,Category:Basque_terms_borrowed_from_Spanish
flatulentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
fonologia,eu,es,Category:Basque_terms_borrowed_from_Spanish
forma,eu,es,Category:Basque_terms_borrowed_from_Spanish
franko,eu,es,Category:Basque_terms_borrowed_from_Spanish
fresko,eu,es,Category:Basque_terms_borrowed_from_Spanish
fruta,eu,es,Category:Basque_terms_borrowed_from_Spanish
galtzetin,eu,es,Category:Basque_terms_borrowed_from_Spanish
Gaztela,eu,es,Category:Basque_terms_borrowed_from_Spanish
genozidio,eu,es,Category:Basque_terms_borrowed_from_Spanish
geografia,eu,es,Category:Basque_terms_borrowed_from_Spanish
gerra,eu,es,Category:Basque_terms_borrowed_from_Spanish
Gilen,eu,es,Category:Basque_terms_borrowed_from_Spanish
Gillen,eu,es,Category:Basque_terms_borrowed_from_Spanish
Gillermo,eu,es,Category:Basque_terms_borrowed_from_Spanish
gisa,eu,es,Category:Basque_terms_borrowed_from_Spanish
glaziar,eu,es,Category:Basque_terms_borrowed_from_Spanish
gobernu,eu,es,Category:Basque_terms_borrowed_from_Spanish
gol,eu,es,Category:Basque_terms_borrowed_from_Spanish
gorde,eu,es,Category:Basque_terms_borrowed_from_Spanish
gramatika,eu,es,Category:Basque_terms_borrowed_from_Spanish
gris,eu,es,Category:Basque_terms_borrowed_from_Spanish
helikoptero,eu,es,Category:Basque_terms_borrowed_from_Spanish
helize,eu,es,Category:Basque_terms_borrowed_from_Spanish
hiena,eu,es,Category:Basque_terms_borrowed_from_Spanish
hipersoniko,eu,es,Category:Basque_terms_borrowed_from_Spanish
