term,target_lang,origin_lang,source_category
homosexual,eu,es,Category:Basque_terms_borrowed_from_Spanish
homosexualitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
identifikazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
identitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
igneo,eu,es,Category:Basque_terms_borrowed_from_Spanish
ijito,eu,es,Category:Basque_terms_borrowed_from_Spanish
iman,eu,es,Category:Basque_terms_borrowed_from_Spanish
imitazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
independentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
industrializazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
infiltrazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
informazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
institutu,eu,es,Category:Basque_terms_borrowed_from_Spanish
internazional,eu,es,Category:Basque_terms_borrowed_from_Spanish
internazionalismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
intsektu,eu,es,Category:Basque_terms_borrowed_from_Spanish
izkina,eu,es,Category:Basque_terms_borrowed_from_Spanish
jende,eu,es,Category:Basque_terms_borrowed_from_Spanish
jengibre,eu,es,Category:Basque_terms_borrowed_from_Spanish
jirafa,eu,es,Category:Basque_terms_borrowed_from_Spanish
Joana,eu,es,Category:Basque_terms_borrowed_from_Spanish
justifikazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
kafeina,eu,es,Category:Basque_terms_borrowed_from_Spanish
kaka,eu,es,Category:Basque_terms_borrowed_from_Spanish
kakahuete,eu,es,Category:Basque_terms_borrowed_from_Spanish
kaltzita,eu,es,Category:Basque_terms_borrowed_from_Spanish
kanguru,eu,es,Category:Basque_terms_borrowed_from_Spanish
kapitalismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
kapitalista,eu,es,Category:Basque_terms_borrowed_from_Spanish
kapo,eu,es,Category:Basque_terms_borrowed_from_Spanish
karlistada,eu,es,Category:Basque_terms_borrowed_from_Spanish
kastore,eu,es,Category:Basque_terms_borrowed_from_Spanish
Katalunia,eu,es,Category:Basque_terms_borrowed_from_Spanish
kaxa,eu,es,Category:Basque_terms_borrowed_from_Spanish
kikara,eu,es,Category:Basque_terms_borrowed_from_Spanish
kilate,eu,es,Category:Basque_terms_borrowed_from_Spanish
kilogramo,eu,es,Category:Basque_terms_borrowed_from_Spanish
koaderno,eu,es,Category:Basque_terms_borrowed_from_Spanish
kobre,eu,es,Category:Basque_terms_borrowed_from_Spanish
koke,eu,es,Category:Basque_terms_borrowed_from_Spanish
kolera,eu,es,Category:Basque_terms_borrowed_from_Spanish
kolonizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
koltxoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
kometa,eu,es,Category:Basque_terms_borrowed_from_Spanish
komunismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
komunista,eu,es,Category:Basque_terms_borrowed_from_Spanish
kondentsadore,eu,es,Category:Basque_terms_borrowed_from_Spanish
kondizio,eu,es,Category:Basque_terms_borrowed_from_Spanish
kondizional,eu,es,Category:Basque_terms_borrowed_from_Spanish
kono,eu,es,Category:Basque_terms_borrowed_from_Spanish
konstituzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
kontzeptu,eu,es,Category:Basque_terms_borrowed_from_Spanish
kontzientzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
koral,eu,es,Category:Basque_terms_borrowed_from_Spanish
Kordoba,eu,es,Category:Basque_terms_borrowed_from_Spanish
kortxea,eu,es,Category:Basque_terms_borrowed_from_Spanish
kosmonauta,eu,es,Category:Basque_terms_borrowed_from_Spanish
kotxe,eu,es,Category:Basque_terms_borrowed_from_Spanish
krater,eu,es,Category:Basque_terms_borrowed_from_Spanish
kronologia,eu,es,Category:Basque_terms_borrowed_from_Spanish
kuantu,eu,es,Category:Basque_terms_borrowed_from_Spanish
kultura,eu,es,Category:Basque_terms_borrowed_from_Spanish
lama,eu,es,Category:Basque_terms_borrowed_from_Spanish
lanbas,eu,es,Category:Basque_terms_borrowed_from_Spanish
landa,eu,es,Category:Basque_terms_borrowed_from_Spanish
laratro,eu,es,Category:Basque_terms_borrowed_from_Spanish
letra,eu,es,Category:Basque_terms_borrowed_from_Spanish
Libano,eu,es,Category:Basque_terms_borrowed_from_Spanish
libreto,eu,es,Category:Basque_terms_borrowed_from_Spanish
lima,eu,es,Category:Basque_terms_borrowed_from_Spanish
linguistika,eu,es,Category:Basque_terms_borrowed_from_Spanish
llama,eu,es,Category:Basque_terms_borrowed_from_Spanish
logika,eu,es,Category:Basque_terms_borrowed_from_Spanish
lupa,eu,es,Category:Basque_terms_borrowed_from_Spanish
Makaronesia,eu,es,Category:Basque_terms_borrowed_from_Spanish
mandarina,eu,es,Category:Basque_terms_borrowed_from_Spanish
mapa,eu,es,Category:Basque_terms_borrowed_from_Spanish
marikoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
marka,eu,es,Category:Basque_terms_borrowed_from_Spanish
marroi,eu,es,Category:Basque_terms_borrowed_from_Spanish
martxo,eu,es,Category:Basque_terms_borrowed_from_Spanish
masturbazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
mauser,eu,es,Category:Basque_terms_borrowed_from_Spanish
mediku,eu,es,Category:Basque_terms_borrowed_from_Spanish
mekanizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
militarismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
militarizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
mina,eu,es,Category:Basque_terms_borrowed_from_Spanish
misantropo,eu,es,Category:Basque_terms_borrowed_from_Spanish
misil,eu,es,Category:Basque_terms_borrowed_from_Spanish
mitiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
mito,eu,es,Category:Basque_terms_borrowed_from_Spanish
modifikazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
monarka,eu,es,Category:Basque_terms_borrowed_from_Spanish
monarkia,eu,es,Category:Basque_terms_borrowed_from_Spanish
monarkiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
monasterio,eu,es,Category:Basque_terms_borrowed_from_Spanish
monitore,eu,es,Category:Basque_terms_borrowed_from_Spanish
moralitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
motozikleta,eu,es,Category:Basque_terms_borrowed_from_Spanish
multinazional,eu,es,Category:Basque_terms_borrowed_from_Spanish
mundu,eu,es,Category:Basque_terms_borrowed_from_Spanish
nazional,eu,es,Category:Basque_terms_borrowed_from_Spanish
nazionalismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
nazionalista,eu,es,Category:Basque_terms_borrowed_from_Spanish
nazionalitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
nazionalsozialismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
nenufar,eu,es,Category:Basque_terms_borrowed_from_Spanish
neurologia,eu,es,Category:Basque_terms_borrowed_from_Spanish
neurozientzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
nominatibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
ofentsiba,eu,es,Category:Basque_terms_borrowed_from_Spanish
ogro,eu,es,Category:Basque_terms_borrowed_from_Spanish
oilo,eu,es,Category:Basque_terms_borrowed_from_Spanish
oligarka,eu,es,Category:Basque_terms_borrowed_from_Spanish
oligarkia,eu,es,Category:Basque_terms_borrowed_from_Spanish
oligarkiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
ondo,eu,es,Category:Basque_terms_borrowed_from_Spanish
opaku,eu,es,Category:Basque_terms_borrowed_from_Spanish
opalo,eu,es,Category:Basque_terms_borrowed_from_Spanish
opera,eu,es,Category:Basque_terms_borrowed_from_Spanish
operadore,eu,es,Category:Basque_terms_borrowed_from_Spanish
operatibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
operazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
opereta,eu,es,Category:Basque_terms_borrowed_from_Spanish
operkulu,eu,es,Category:Basque_terms_borrowed_from_Spanish
organizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
orgasmo,eu,es,Category:Basque_terms_borrowed_from_Spanish
pabo,eu,es,Category:Basque_terms_borrowed_from_Spanish
pakete,eu,es,Category:Basque_terms_borrowed_from_Spanish
pase,eu,es,Category:Basque_terms_borrowed_from_Spanish
patata,eu,es,Category:Basque_terms_borrowed_from_Spanish
pauso,eu,es,Category:Basque_terms_borrowed_from_Spanish
pelikula,eu,es,Category:Basque_terms_borrowed_from_Spanish
penintsula,eu,es,Category:Basque_terms_borrowed_from_Spanish
pentagrama,eu,es,Category:Basque_terms_borrowed_from_Spanish
pertsonal,eu,es,Category:Basque_terms_borrowed_from_Spanish
pila,eu,es,Category:Basque_terms_borrowed_from_Spanish
pilota,eu,es,Category:Basque_terms_borrowed_from_Spanish
pintxo,eu,es,Category:Basque_terms_borrowed_from_Spanish
piraña,eu,es,Category:Basque_terms_borrowed_from_Spanish
pistoi,eu,es,Category:Basque_terms_borrowed_from_Spanish
pistola,eu,es,Category:Basque_terms_borrowed_from_Spanish
pisu,eu,es,Category:Basque_terms_borrowed_from_Spanish
pixa,eu,es,Category:Basque_terms_borrowed_from_Spanish
plaia,eu,es,Category:Basque_terms_borrowed_from_Spanish
plastiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
plaza,eu,es,Category:Basque_terms_borrowed_from_Spanish
plutokrazia,eu,es,Category:Basque_terms_borrowed_from_Spanish
pobrezia,eu,es,Category:Basque_terms_borrowed_from_Spanish
polaritate,eu,es,Category:Basque_terms_borrowed_from_Spanish
polarizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
politiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
poltsa,eu,es,Category:Basque_terms_borrowed_from_Spanish
pornografia,eu,es,Category:Basque_terms_borrowed_from_Spanish
portuges,eu,es,Category:Basque_terms_borrowed_from_Spanish
potentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
prepuzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
presa,eu,es,Category:Basque_terms_borrowed_from_Spanish
presidente,eu,es,Category:Basque_terms_borrowed_from_Spanish
prezio,eu,es,Category:Basque_terms_borrowed_from_Spanish
probabilitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
probintzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
produktibo,eu,es,Category:Basque_terms_borrowed_from_Spanish
produkzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
prostituzio,eu,es,Category:Basque_terms_borrowed_from_Spanish
psikologia,eu,es,Category:Basque_terms_borrowed_from_Spanish
publizitate,eu,es,Category:Basque_terms_borrowed_from_Spanish
punta,eu,es,Category:Basque_terms_borrowed_from_Spanish
puntu,eu,es,Category:Basque_terms_borrowed_from_Spanish
purifikazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
puta,eu,es,Category:Basque_terms_borrowed_from_Spanish
putre,eu,es,Category:Basque_terms_borrowed_from_Spanish
putzu,eu,es,Category:Basque_terms_borrowed_from_Spanish
radar,eu,es,Category:Basque_terms_borrowed_from_Spanish
radian,eu,es,Category:Basque_terms_borrowed_from_Spanish
radio,eu,es,Category:Basque_terms_borrowed_from_Spanish
radon,eu,es,Category:Basque_terms_borrowed_from_Spanish
raid,eu,es,Category:Basque_terms_borrowed_from_Spanish
raja,eu,es,Category:Basque_terms_borrowed_from_Spanish
ralenti,eu,es,Category:Basque_terms_borrowed_from_Spanish
rally,eu,es,Category:Basque_terms_borrowed_from_Spanish
ramadan,eu,es,Category:Basque_terms_borrowed_from_Spanish
ranking,eu,es,Category:Basque_terms_borrowed_from_Spanish
rantxera,eu,es,Category:Basque_terms_borrowed_from_Spanish
rap,eu,es,Category:Basque_terms_borrowed_from_Spanish
rapanui,eu,es,Category:Basque_terms_borrowed_from_Spanish
rappel,eu,es,Category:Basque_terms_borrowed_from_Spanish
rapsoda,eu,es,Category:Basque_terms_borrowed_from_Spanish
rapsodia,eu,es,Category:Basque_terms_borrowed_from_Spanish
robotika,eu,es,Category:Basque_terms_borrowed_from_Spanish
saltxitxa,eu,es,Category:Basque_terms_borrowed_from_Spanish
San,eu,es,Category:Basque_terms_borrowed_from_Spanish
seguru,eu,es,Category:Basque_terms_borrowed_from_Spanish
sekularismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
semaforo,eu,es,Category:Basque_terms_borrowed_from_Spanish
separazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
serafin,eu,es,Category:Basque_terms_borrowed_from_Spanish
setio,eu,es,Category:Basque_terms_borrowed_from_Spanish
sexismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
sinekdoke,eu,es,Category:Basque_terms_borrowed_from_Spanish
Singapur,eu,es,Category:Basque_terms_borrowed_from_Spanish
soldadu,eu,es,Category:Basque_terms_borrowed_from_Spanish
sozial,eu,es,Category:Basque_terms_borrowed_from_Spanish
sozialismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
sozialista,eu,es,Category:Basque_terms_borrowed_from_Spanish
suizidio,eu,es,Category:Basque_terms_borrowed_from_Spanish
suma,eu,es,Category:Basque_terms_borrowed_from_Spanish
taberna,eu,es,Category:Basque_terms_borrowed_from_Spanish
talo,eu,es,Category:Basque_terms_borrowed_from_Spanish
tamaina,eu,es,Category:Basque_terms_borrowed_from_Spanish
tekla,eu,es,Category:Basque_terms_borrowed_from_Spanish
teklatu,eu,es,Category:Basque_terms_borrowed_from_Spanish
teknokrazia,eu,es,Category:Basque_terms_borrowed_from_Spanish
teknologia,eu,es,Category:Basque_terms_borrowed_from_Spanish
teokrazia,eu,es,Category:Basque_terms_borrowed_from_Spanish
teologo,eu,es,Category:Basque_terms_borrowed_from_Spanish
terrorismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
tibia,eu,es,Category:Basque_terms_borrowed_from_Spanish
tiro,eu,es,Category:Basque_terms_borrowed_from_Spanish
tradizio,eu,es,Category:Basque_terms_borrowed_from_Spanish
tradizional,eu,es,Category:Basque_terms_borrowed_from_Spanish
trafiko,eu,es,Category:Basque_terms_borrowed_from_Spanish
traiektoria,eu,es,Category:Basque_terms_borrowed_from_Spanish
tranbia,eu,es,Category:Basque_terms_borrowed_from_Spanish
tranpa,eu,es,Category:Basque_terms_borrowed_from_Spanish
trepeta,eu,es,Category:Basque_terms_borrowed_from_Spanish
tronu,eu,es,Category:Basque_terms_borrowed_from_Spanish
truke,eu,es,Category:Basque_terms_borrowed_from_Spanish
txalupa,eu,es,Category:Basque_terms_borrowed_from_Spanish
txanda,eu,es,Category:Basque_terms_borrowed_from_Spanish
txantxa,eu,es,Category:Basque_terms_borrowed_from_Spanish
txartel,eu,es,Category:Basque_terms_borrowed_from_Spanish
tximinia,eu,es,Category:Basque_terms_borrowed_from_Spanish
txiste,eu,es,Category:Basque_terms_borrowed_from_Spanish
txoke,eu,es,Category:Basque_terms_borrowed_from_Spanish
txokolate,eu,es,Category:Basque_terms_borrowed_from_Spanish
txorizo,eu,es,Category:Basque_terms_borrowed_from_Spanish
txuleta,eu,es,Category:Basque_terms_borrowed_from_Spanish
ultzera,eu,es,Category:Basque_terms_borrowed_from_Spanish
Valentzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
wahabismo,eu,es,Category:Basque_terms_borrowed_from_Spanish
wahabista,eu,es,Category:Basque_terms_borrowed_from_Spanish
Xisto,eu,es,Category:Basque_terms_borrowed_from_Spanish
yarda,eu,es,Category:Basque_terms_borrowed_from_Spanish
zabor,eu,es,Category:Basque_terms_borrowed_from_Spanish
ze,eu,es,Category:Basque_terms_borrowed_from_Spanish
zebra,eu,es,Category:Basque_terms_borrowed_from_Spanish
zerbeza,eu,es,Category:Basque_terms_borrowed_from_Spanish
zerbitzu,eu,es,Category:Basque_terms_borrowed_from_Spanish
zeremonia,eu,es,Category:Basque_terms_borrowed_from_Spanish
zero,eu,es,Category:Basque_terms_borrowed_from_Spanish
zertzeta,eu,es,Category:Basque_terms_borrowed_from_Spanish
zeta,eu,es,Category:Basque_terms_borrowed_from_Spanish
zibil,eu,es,Category:Basque_terms_borrowed_from_Spanish
zibilizazio,eu,es,Category:Basque_terms_borrowed_from_Spanish
zientzia,eu,es,Category:Basque_terms_borrowed_from_Spanish
ziklotroi,eu,es,Category:Basque_terms_borrowed_from_Spanish
zirkonio,eu,es,Category:Basque_terms_borrowed_from_Spanish
zirku,eu,es,Category:Basque_terms_borrowed_from_Spanish
zirkulu,eu,es,Category:Basque_terms_borrowed_from_Spanish
zumake,eu,es,Category:Basque_terms_borrowed_from_Spanish
abangoardia,eu,fr,Category:Basque_terms_borrowed_from_French
abant,eu,fr,Category:Basque_terms_borrowed_from_French
abantaila,eu,fr,Category:Basque_terms_borrowed_from_French
abantailos,eu,fr,Category:Basque_terms_borrowed_from_French
abantzamendu,eu,fr,Category:Basque_terms_borrowed_from_French
abrikot,eu,fr,Category:Basque_terms_borrowed_from_French
absente,eu,fr,Category:Basque_terms_borrowed_from_French
absentzia,eu,fr,Category:Basque_terms_borrowed_from_French
abside,eu,fr,Category:Basque_terms_borrowed_from_French
Aljeria,eu,fr,Category:Basque_terms_borrowed_from_French
biera,eu,fr,Category:Basque_terms_borrowed_from_French
bizikleta,eu,fr,Category:Basque_terms_borrowed_from_French
camembert,eu,fr,Category:Basque_terms_borrowed_from_French
chantilly,eu,fr,Category:Basque_terms_borrowed_from_French
chauvinista,eu,fr,Category:Basque_terms_borrowed_from_French
chef,eu,fr,Category:Basque_terms_borrowed_from_French
collage,eu,fr,Category:Basque_terms_borrowed_from_French
coulomb,eu,fr,Category:Basque_terms_borrowed_from_French
croissant,eu,fr,Category:Basque_terms_borrowed_from_French
Danimarka,eu,fr,Category:Basque_terms_borrowed_from_French
espioi,eu,fr,Category:Basque_terms_borrowed_from_French
greba,eu,fr,Category:Basque_terms_borrowed_from_French
hierarkia,eu,fr,Category:Basque_terms_borrowed_from_French
Kanbodia,eu,fr,Category:Basque_terms_borrowed_from_French
kanixe,eu,fr,Category:Basque_terms_borrowed_from_French
kode,eu,fr,Category:Basque_terms_borrowed_from_French
letra,eu,fr,Category:Basque_terms_borrowed_from_French
Maroko,eu,fr,Category:Basque_terms_borrowed_from_French
Norvegia,eu,fr,Category:Basque_terms_borrowed_from_French
omonier,eu,fr,Category:Basque_terms_borrowed_from_French
pabo,eu,fr,Category:Basque_terms_borrowed_from_French
raja,eu,fr,Category:Basque_terms_borrowed_from_French
ralenti,eu,fr,Category:Basque_terms_borrowed_from_French
Suedia,eu,fr,Category:Basque_terms_borrowed_from_French
tren,eu,fr,Category:Basque_terms_borrowed_from_French
ttantta,eu,fr,Category:Basque_terms_borrowed_from_French
Tunisia,eu,fr,Category:Basque_terms_borrowed_from_French
txalupa,eu,fr,Category:Basque_terms_borrowed_from_French
Xobür,eu,fr,Category:Basque_terms_borrowed_from_French
Αβάνα,el,en,Category:Greek_terms_borrowed_from_English
αγαρδίτης,el,en,Category:Greek_terms_borrowed_from_English
αγιατολάχ,el,en,Category:Greek_terms_borrowed_from_English
Αϊντάχο,el,en,Category:Greek_terms_borrowed_from_English
Αϊόβα,el,en,Category:Greek_terms_borrowed_from_English
αιρκοντίσιον,el,en,Category:Greek_terms_borrowed_from_English
Αλαμπάμα,el,en,Category:Greek_terms_borrowed_from_English
Αλάσκα,el,en,Category:Greek_terms_borrowed_from_English
Άλμπερτ,el,en,Category:Greek_terms_borrowed_from_English
Ανγκουίλα,el,en,Category:Greek_terms_borrowed_from_English
ανθέμιο,el,en,Category:Greek_terms_borrowed_from_English
άνορακ,el,en,Category:Greek_terms_borrowed_from_English
αντεργκράουντ,el,en,Category:Greek_terms_borrowed_from_English
Αντίγκουα,el,en,Category:Greek_terms_borrowed_from_English
άουτ,el,en,Category:Greek_terms_borrowed_from_English
αουτσάιντερ,el,en,Category:Greek_terms_borrowed_from_English
απαρτχάιντ,el,en,Category:Greek_terms_borrowed_from_English
άπερκατ,el,en,Category:Greek_terms_borrowed_from_English
Αριζόνα,el,en,Category:Greek_terms_borrowed_from_English
Άρκανσας,el,en,Category:Greek_terms_borrowed_from_English
αταβιστικός,el,en,Category:Greek_terms_borrowed_from_English
ατζέντα,el,en,Category:Greek_terms_borrowed_from_English
Αυστραλασία,el,en,Category:Greek_terms_borrowed_from_English
Αυστραλία,el,en,Category:Greek_terms_borrowed_from_English
βαθμός Κέλβιν,el,en,Category:Greek_terms_borrowed_from_English
βαν,el,en,Category:Greek_terms_borrowed_from_English
Βερόνικα,el,en,Category:Greek_terms_borrowed_from_English
βεσέ,el,en,Category:Greek_terms_borrowed_from_English
Βινς,el,en,Category:Greek_terms_borrowed_from_English
βίντεο,el,en,Category:Greek_terms_borrowed_from_English
Βιρτζίνια,el,en,Category:Greek_terms_borrowed_from_English
βόας,el,en,Category:Greek_terms_borrowed_from_English
Βοστώνη,el,en,Category:Greek_terms_borrowed_from_English
γαλόνι,el,en,Category:Greek_terms_borrowed_from_English
Γέλοουναϊφ,el,en,Category:Greek_terms_borrowed_from_English
γεωπολιτική,el,en,Category:Greek_terms_borrowed_from_English
Γιόντα,el,en,Category:Greek_terms_borrowed_from_English
γιοτ,el,en,Category:Greek_terms_borrowed_from_English
γιοττα-,el,en,Category:Greek_terms_borrowed_from_English
Γκάνα,el,en,Category:Greek_terms_borrowed_from_English
Γκάρφιλντ,el,en,Category:Greek_terms_borrowed_from_English
γκέι,el,en,Category:Greek_terms_borrowed_from_English
Γκιμπς,el,en,Category:Greek_terms_borrowed_from_English
γκολ,el,en,Category:Greek_terms_borrowed_from_English
Γκόρντον,el,en,Category:Greek_terms_borrowed_from_English
Γκούντμαν,el,en,Category:Greek_terms_borrowed_from_English
Γκραντ,el,en,Category:Greek_terms_borrowed_from_English
Γκρεγκ,el,en,Category:Greek_terms_borrowed_from_English
γκρέιπφρουτ,el,en,Category:Greek_terms_borrowed_from_English
Γκρέις,el,en,Category:Greek_terms_borrowed_from_English
γκρελίνη,el,en,Category:Greek_terms_borrowed_from_English
Γκριν,el,en,Category:Greek_terms_borrowed_from_English
γκρουμ,el,en,Category:Greek_terms_borrowed_from_English
γλωσσολαλιά,el,en,Category:Greek_terms_borrowed_from_English
Γουόκερ,el,en,Category:Greek_terms_borrowed_from_English
Γουόλτερ,el,en,Category:Greek_terms_borrowed_from_English
δεινόσαυρος,el,en,Category:Greek_terms_borrowed_from_English
Δελχί,el,en,Category:Greek_terms_borrowed_from_English
δολάριο,el,en,Category:Greek_terms_borrowed_from_English
Έβαν,el,en,Category:Greek_terms_borrowed_from_English
Έιμι,el,en,Category:Greek_terms_borrowed_from_English
Έιντζελ,el,en,Category:Greek_terms_borrowed_from_English
ελληνιστικός,el,en,Category:Greek_terms_borrowed_from_English
εμού,el,en,Category:Greek_terms_borrowed_from_English
Έντι,el,en,Category:Greek_terms_borrowed_from_English
Έντουαρντ,el,en,Category:Greek_terms_borrowed_from_English
εξα-,el,en,Category:Greek_terms_borrowed_from_English
Έρικ,el,en,Category:Greek_terms_borrowed_from_English
ευτηκτοειδής,el,en,Category:Greek_terms_borrowed_from_English
ζεττα-,el,en,Category:Greek_terms_borrowed_from_English
θεατρόφιλος,el,en,Category:Greek_terms_borrowed_from_English
